ID,Symbol,Security,Wikipedia_URL,Cluster
292,LKQ,LKQ Corporation,https://en.wikipedia.org/wiki/LKQ_Corporation,12
293,LMT,Lockheed Martin,https://en.wikipedia.org/wiki/Lockheed_Martin,16
294,L,Loews Corporation,https://en.wikipedia.org/wiki/Loews_Corporation,21
295,LOW,Lowe's,https://en.wikipedia.org/wiki/Lowe%27s,18
296,LULU,Lululemon Athletica,https://en.wikipedia.org/wiki/Lululemon,18
297,LYB,LyondellBasell,https://en.wikipedia.org/wiki/LyondellBasell,1
298,MTB,M&T Bank,https://en.wikipedia.org/wiki/M%26T_Bank,24
299,MPC,Marathon Petroleum,https://en.wikipedia.org/wiki/Marathon_Petroleum,2
300,MAR,Marriott International,https://en.wikipedia.org/wiki/Marriott_International,22
301,MMC,Marsh McLennan,https://en.wikipedia.org/wiki/Marsh_McLennan,27
302,MLM,Martin Marietta Materials,https://en.wikipedia.org/wiki/Martin_Marietta_Materials,0
303,MAS,Masco,https://en.wikipedia.org/wiki/Masco,0
304,MA,Mastercard,https://en.wikipedia.org/wiki/Mastercard,23
305,MTCH,Match Group,https://en.wikipedia.org/wiki/Match_Group,14
306,MKC,McCormick & Company,https://en.wikipedia.org/wiki/McCormick_%26_Company,10
307,MCD,McDonald's,https://en.wikipedia.org/wiki/McDonald%27s,10
308,MCK,McKesson Corporation,https://en.wikipedia.org/wiki/McKesson_Corporation,4
309,MDT,Medtronic,https://en.wikipedia.org/wiki/Medtronic,20
310,MRK,Merck & Co.,https://en.wikipedia.org/wiki/Merck_%26_Co.,20
311,META,Meta Platforms,https://en.wikipedia.org/wiki/Meta_Platforms,29
312,MET,MetLife,https://en.wikipedia.org/wiki/MetLife,27
313,MTD,Mettler Toledo,https://en.wikipedia.org/wiki/Mettler_Toledo,20
314,MGM,MGM Resorts,https://en.wikipedia.org/wiki/MGM_Resorts,22
315,MCHP,Microchip Technology,https://en.wikipedia.org/wiki/Microchip_Technology,30
316,MU,Micron Technology,https://en.wikipedia.org/wiki/Micron_Technology,30
317,MSFT,Microsoft,https://en.wikipedia.org/wiki/Microsoft,29
318,MAA,Mid-America Apartment Communities,https://en.wikipedia.org/wiki/Mid-America_Apartment_Communities,5
319,MRNA,Moderna,https://en.wikipedia.org/wiki/Moderna,20
320,MHK,Mohawk Industries,https://en.wikipedia.org/wiki/Mohawk_Industries,0
321,MOH,Molina Healthcare,https://en.wikipedia.org/wiki/Molina_Healthcare,4
322,TAP,Molson Coors Beverage Company,https://en.wikipedia.org/wiki/Molson_Coors,9
323,MDLZ,Mondelez International,https://en.wikipedia.org/wiki/Mondelez_International,10
324,MPWR,Monolithic Power Systems,https://en.wikipedia.org/wiki/Monolithic_Power_Systems,30
325,MNST,Monster Beverage,https://en.wikipedia.org/wiki/Monster_Beverage,9
326,MCO,Moody's Corporation,https://en.wikipedia.org/wiki/Moody%27s_Corporation,24
327,MS,Morgan Stanley,https://en.wikipedia.org/wiki/Morgan_Stanley,24
328,MOS,Mosaic Company (The),https://en.wikipedia.org/wiki/The_Mosaic_Company,0
329,MSI,Motorola Solutions,https://en.wikipedia.org/wiki/Motorola_Solutions,30
330,MSCI,MSCI Inc.,https://en.wikipedia.org/wiki/MSCI,24
331,NDAQ,"Nasdaq, Inc.","https://en.wikipedia.org/wiki/Nasdaq,_Inc.",13
332,NTAP,NetApp,https://en.wikipedia.org/wiki/NetApp,32
