ID,Symbol,Security,Wikipedia_URL,Cluster,X,Y
236,HST,Host Hotels & Resorts,https://en.wikipedia.org/wiki/Host_Hotels_%26_Resorts,6,-0.56661206,5.6080165
237,HWM,Howmet Aerospace,https://en.wikipedia.org/wiki/Howmet_Aerospace,-1,1.9336584,1.4808602
238,HPQ,HP Inc.,https://en.wikipedia.org/wiki/HP_Inc.,10,1.4482969,2.7453046
239,HUBB,Hubbell Incorporated,https://en.wikipedia.org/wiki/Hubbell_Incorporated,-1,2.4120007,2.8118935
240,HUM,Humana,https://en.wikipedia.org/wiki/Humana,8,2.9234571,5.2726703
241,HBAN,Huntington Bancshares,https://en.wikipedia.org/wiki/Huntington_Bancshares,14,1.9752599,7.311572
242,HII,Huntington Ingalls Industries,https://en.wikipedia.org/wiki/Huntington_Ingalls_Industries,10,1.9325224,2.2858293
243,IBM,IBM,https://en.wikipedia.org/wiki/IBM,21,-0.939394,1.5802019
244,IEX,IDEX Corporation,https://en.wikipedia.org/wiki/IDEX_Corporation,9,2.5880368,0.7086707
245,IDXX,Idexx Laboratories,https://en.wikipedia.org/wiki/Idexx_Laboratories,9,2.689315,0.36754045
246,ITW,Illinois Tool Works,https://en.wikipedia.org/wiki/Illinois_Tool_Works,10,2.588013,1.6445794
247,INCY,Incyte,https://en.wikipedia.org/wiki/Incyte,9,2.6377134,0.09028652
248,IR,Ingersoll Rand,https://en.wikipedia.org/wiki/Ingersoll_Rand,10,2.9665916,1.5086848
250,INTC,Intel,https://en.wikipedia.org/wiki/Intel,21,-0.6735261,1.7084947
251,IBKR,Interactive Brokers,https://en.wikipedia.org/wiki/Interactive_Brokers,3,0.8563136,5.6442375
252,ICE,Intercontinental Exchange,https://en.wikipedia.org/wiki/Intercontinental_Exchange,3,0.6673271,5.603951
253,IFF,International Flavors & Fragrances,https://en.wikipedia.org/wiki/International_Flavors_%26_Fragrances,-1,0.7739125,4.586061
254,IP,International Paper,https://en.wikipedia.org/wiki/International_Paper,7,3.8121166,2.7375364
255,IPG,Interpublic Group of Companies (The),https://en.wikipedia.org/wiki/The_Interpublic_Group_of_Companies,-1,1.2051724,5.1630135
256,INTU,Intuit,https://en.wikipedia.org/wiki/Intuit,-1,-0.2350688,2.0234447
257,ISRG,Intuitive Surgical,https://en.wikipedia.org/wiki/Intuitive_Surgical,9,1.3109508,0.7871911
258,IVZ,Invesco,https://en.wikipedia.org/wiki/Invesco,-1,-0.1412485,5.4849463
259,INVH,Invitation Homes,https://en.wikipedia.org/wiki/Invitation_Homes,6,0.17194992,5.4005
260,IQV,IQVIA,https://en.wikipedia.org/wiki/IQVIA,9,2.0657241,0.49988732
